molecule_chembl_id,target_chembl_id,canonical_smiles,standard_value,pIC50,assay_chembl_id,target_family,assay_type,compound_class,toxicity_risk,solubility_level,num_h_donors,num_h_acceptors,tpsa,num_rotatable_bonds,lipinski_compliant
CHEMBL60221,CHEMBL1817,C[C@@H](C(=O)O)N(C/C=C/c1cccc(Oc2ccccc2)c1)C/C=C/c1cccc(Oc2ccccc2)c1,40000.0,4.3979400086720375,CHEMBL873601,Erythropoietin receptor,B,Peptide,4,3,1.0,4.0,59.0,12.0,0
CHEMBL86598,CHEMBL1827,CC(C)Cn1c(=O)n(C)c(=O)c2[nH]c(-c3ccccc3F)nc21,10000.0,5.0,CHEMBL762829,Phosphodiesterase 5A,B,Small Molecule,2,1,1.0,5.0,72.68,3.0,1
CHEMBL89151,CHEMBL1827,CCOc1ccc(S(=O)(=O)N2CCN(CC)CC2)cc1-c1nc2c(=O)n(C)c(=O)n(CC(C)C)c2[nH]1,26.0,7.585026652029182,CHEMBL762829,Phosphodiesterase 5A,B,Peptide,3,1,1.0,9.0,122.53,8.0,0
CHEMBL71853,CHEMBL4618,CC(C)C[C@H](NC(=O)C(=O)[C@@H](N)Cc1ccccc1)C(=O)O,500.0,6.301029995663981,CHEMBL706177,Leukotriene A4 hydrolase,B,Small Molecule,2,2,3.0,4.0,109.49,8.0,1
CHEMBL273724,CHEMBL1944,CC(c1ccc(F)cc1)C(CS)C(=O)NC(Cc1ccc(O)cc1)C(=O)O,5.9,8.229147988357855,CHEMBL755096,Neprilysin,B,Small Molecule,5,4,4.0,4.0,86.63000000000001,8.0,1
CHEMBL153311,CHEMBL220,CNC(NCCNCc1ccc(CN(C(C)C)C(C)C)o1)=C(C#N)C#N,2100.0,5.6777807052660805,CHEMBL636834,Acetylcholinesterase,B,Small Molecule,1,4,3.0,7.0,100.04999999999998,11.0,1
CHEMBL67657,CHEMBL4618,N[C@@H](Cc1ccccc1)[C@H](O)C(=O)OCc1ccccc1,20000.0,4.698970004336019,CHEMBL706177,Leukotriene A4 hydrolase,B,Small Molecule,1,2,2.0,4.0,72.55,6.0,1
CHEMBL315857,CHEMBL4803,NC1=NCCCCC1,16000.0,4.795880017344075,CHEMBL676786,"Nitric-oxide synthase, endothelial",B,Small Molecule,3,5,1.0,2.0,38.38,0.0,1
CHEMBL315857,CHEMBL3568,NC1=NCCCCC1,3500.0,5.455931955649724,CHEMBL880846,"Nitric-oxide synthase, brain",B,Small Molecule,5,4,1.0,2.0,38.38,0.0,1
CHEMBL161118,CHEMBL4481,NC1=NCCCO1,1800.0,5.7447274948966935,CHEMBL878597,"Nitric oxide synthase, inducible",B,Small Molecule,2,1,1.0,3.0,47.61,0.0,1
